Country Group;Department;Subclass;Store Category;Total Stores Count;Avg Stcl Cnt;Store Count;Demand Avg;Demand Avg With Min/Max;Avg Stcl Cnt Max;Store Count;Demand Max;Demand Max With Min/Max;Avg Wsp Alokacyjny;Max Wsp Alokacyjny;Avg Wsp Alokacyjny With Min/Max;Max Wsp Alokacyjny With Min/Max
UE;accessories CROPP;M_underwear;A;16;34;16;141,44;167,26;5;16;301,07;301,07;8,84;18,82;10,45;18,82
UE;accessories CROPP;M_underwear;B;96;30;94;640,72;784,75;4;94;1378,95;1379,82;6,67;14,36;8,17;14,37
UE;accessories CROPP;M_underwear;C;116;21;107;560,36;707,25;3;107;1224,75;1229,54;4,83;10,56;6,10;10,60
UE;accessories CROPP;M_underwear;D;45;12;37;146,00;270,70;2;37;348,36;368,48;3,24;7,74;6,02;8,19
Non-UE;accessories CROPP;M_socks;A;6;36;5;73,09;73,09;5;5;157,26;157,26;12,18;26,21;12,18;26,21
Non-UE;accessories CROPP;M_socks;B;6;36;6;50,67;53,48;5;6;104,02;104,02;8,44;17,34;8,91;17,34
Non-UE;accessories CROPP;M_socks;C;6;29;6;30,67;36,00;4;6;60,13;60,13;5,11;10,02;6,00;10,02
Non-UE;accessories CROPP;M_socks;D;6;23;5;21,83;36,00;3;5;44,79;44,79;3,64;7,47;6,00;7,47
RUSSIA;accessories CROPP;M_socks;A;30;34;30;495,65;495,68;5;30;1026,61;1026,61;16,52;34,22;16,52;34,22
RUSSIA;accessories CROPP;M_socks;B;29;28;29;237,93;258,06;4;29;539,18;539,18;8,20;18,59;8,90;18,59
RUSSIA;accessories CROPP;M_socks;C;14;29;14;72,91;86,64;4;14;165,86;165,86;5,21;11,85;6,19;11,85
RUSSIA;accessories CROPP;M_socks;D;5;28;5;17,73;31,34;4;5;42,05;43,33;3,55;8,41;6,27;8,67
UE;accessories CROPP;M_socks;A;20;47;20;254,31;255,69;7;20;558,19;558,19;12,72;27,91;12,78;27,91
UE;accessories CROPP;M_socks;B;96;45;94;711,72;810,07;6;94;1561,17;1561,92;7,41;16,26;8,44;16,27
UE;accessories CROPP;M_socks;C;111;40;103;571,88;678,97;6;103;1180,57;1183,31;5,15;10,64;6,12;10,66
UE;accessories CROPP;M_socks;D;46;34;42;164,05;276,00;5;42;351,72;360,66;3,57;7,65;6,00;7,84
Non-UE;accessories CROPP;M_swimwear;A;5;22;3;22,58;40,00;3;3;52,45;52,45;4,52;10,49;8,00;10,49
Non-UE;accessories CROPP;M_swimwear;B;7;17;7;29,90;42,00;2;7;64,70;64,70;4,27;9,24;6,00;9,24
Non-UE;accessories CROPP;M_swimwear;C;8;10;8;21,58;32,18;1;8;44,49;46,84;2,70;5,56;4,02;5,86
Non-UE;accessories CROPP;M_swimwear;D;4;6;3;12,52;16,58;1;3;26,77;26,77;3,13;6,69;4,14;6,69
RUSSIA;accessories CROPP;M_swimwear;A;28;15;27;158,57;236,43;2;27;442,48;449,23;5,66;15,80;8,44;16,04
